IP地址,端口,回源端口,TLS,数据中心,地区,国家,城市,TCP延迟(ms),速度(MB/s)
34.69.150.180,443,443,true,ORD,North America,US,Chicago,231,8.63
34.69.150.180,443,443,true,ORD,North America,US,Chicago,371,8.60
34.55.194.208,443,443,true,ORD,North America,US,Chicago,383,8.55
35.202.158.120,443,443,true,ORD,North America,US,Chicago,213,8.53
34.70.91.86,443,443,true,ORD,North America,US,Chicago,315,8.46
35.228.132.81,8443,443,true,ARN,Europe,SE,Stockholm,254,8.31
34.22.142.117,443,443,true,CDG,Europe,FR,Paris,321,8.29
35.228.132.81,2053,443,true,ARN,Europe,SE,Stockholm,273,8.19
35.196.72.166,443,443,true,ATL,North America,US,Atlanta,613,8.17
35.190.152.145,443,443,true,ATL,North America,US,Atlanta,333,7.90
34.22.142.117,443,443,true,CDG,Europe,FR,Paris,412,7.50
35.204.231.100,443,443,true,AMS,Europe,NL,Amsterdam,409,7.20
34.175.202.195,443,443,true,MAD,Europe,ES,Madrid,274,6.47
35.228.36.82,443,443,true,ARN,Europe,SE,Stockholm,325,6.34
34.105.233.161,443,443,true,LHR,Europe,GB,London,273,6.01
35.189.99.124,443,443,true,LHR,Europe,GB,London,286,5.92
34.147.196.2,443,443,true,LHR,Europe,GB,London,240,5.42
35.197.239.137,443,443,true,LHR,Europe,GB,London,360,5.25
34.105.189.25,443,443,true,LHR,Europe,GB,London,300,5.06
34.105.140.105,443,443,true,LHR,Europe,GB,London,244,3.83
34.175.217.93,80,443,false,MAD,Europe,ES,Madrid,250,2.28
35.200.238.235,443,443,true,BOM,Asia Pacific,IN,Mumbai,460,0.44
35.200.238.235,443,443,true,BOM,Asia Pacific,IN,Mumbai,509,0.24
35.200.238.235,443,443,true,BOM,Asia Pacific,IN,Mumbai,196,0.22
35.201.107.185,80,80,false,SIN,Asia Pacific,SG,Singapore,57,0.00
34.93.79.152,80,80,false,BOM,Asia Pacific,IN,Mumbai,62,0.00
34.93.226.165,80,80,false,BOM,Asia Pacific,IN,Mumbai,77,0.00
34.111.135.19,80,80,false,SIN,Asia Pacific,SG,Singapore,80,0.00
34.93.79.152,80,80,false,BOM,Asia Pacific,IN,Mumbai,82,0.00
35.200.202.118,80,80,false,BOM,Asia Pacific,IN,Mumbai,113,0.00
34.117.121.106,80,80,false,SIN,Asia Pacific,SG,Singapore,114,0.00
34.93.226.165,80,80,false,BOM,Asia Pacific,IN,Mumbai,121,0.00
34.93.79.152,80,80,false,BOM,Asia Pacific,IN,Mumbai,135,0.00
34.93.79.152,80,80,false,BOM,Asia Pacific,IN,Mumbai,137,0.00
34.160.118.77,80,80,false,SIN,Asia Pacific,SG,Singapore,138,0.00
34.111.135.19,80,80,false,SIN,Asia Pacific,SG,Singapore,141,0.00
34.117.254.68,80,80,false,SIN,Asia Pacific,SG,Singapore,144,0.00
34.36.237.86,80,80,false,SIN,Asia Pacific,SG,Singapore,145,0.00
34.93.226.165,80,80,false,BOM,Asia Pacific,IN,Mumbai,147,0.00
35.201.107.185,80,80,false,SIN,Asia Pacific,SG,Singapore,150,0.00
35.197.89.213,80,80,false,SEA,North America,US,Seattle,158,0.00
34.82.76.253,80,80,false,SEA,North America,US,Seattle,158,0.00
34.82.76.253,80,80,false,SEA,North America,US,Seattle,160,0.00
34.147.101.117,2082,80,false,AMS,Europe,NL,Amsterdam,160,0.00
34.147.101.117,2052,80,false,AMS,Europe,NL,Amsterdam,161,0.00
34.147.101.117,2087,80,false,SYD,Oceania,AU,Sydney,161,0.00
34.141.221.33,2083,80,false,AMS,Europe,NL,Amsterdam,162,0.00
34.141.221.33,2087,80,false,AMS,Europe,NL,Amsterdam,162,0.00
34.83.75.76,80,80,false,SEA,North America,US,Seattle,163,0.00
34.105.49.234,80,80,false,SEA,North America,US,Seattle,164,0.00
34.147.101.117,2083,80,false,AMS,Europe,NL,Amsterdam,164,0.00
34.147.101.117,2096,80,false,AMS,Europe,NL,Amsterdam,164,0.00
34.147.101.117,2083,80,false,AMS,Europe,NL,Amsterdam,164,0.00
34.147.101.117,2087,80,false,SYD,Oceania,AU,Sydney,164,0.00
34.82.76.253,80,80,false,SEA,North America,US,Seattle,165,0.00
34.147.82.194,2053,80,false,AMS,Europe,NL,Amsterdam,165,0.00
34.147.101.117,2053,80,false,AMS,Europe,NL,Amsterdam,166,0.00
34.141.221.33,2086,80,false,AMS,Europe,NL,Amsterdam,166,0.00
34.82.76.253,80,80,false,SEA,North America,US,Seattle,166,0.00
34.120.230.33,80,80,false,SIN,Asia Pacific,SG,Singapore,166,0.00
34.141.248.249,2096,80,false,AMS,Europe,NL,Amsterdam,168,0.00
34.147.101.117,2086,80,false,AMS,Europe,NL,Amsterdam,169,0.00
34.141.221.33,2082,80,false,AMS,Europe,NL,Amsterdam,172,0.00
34.141.248.249,2083,80,false,AMS,Europe,NL,Amsterdam,174,0.00
34.93.226.165,80,80,false,BOM,Asia Pacific,IN,Mumbai,175,0.00
35.200.202.118,80,80,false,BOM,Asia Pacific,IN,Mumbai,178,0.00
34.147.101.117,2053,80,false,AMS,Europe,NL,Amsterdam,179,0.00
34.147.101.117,2086,80,false,AMS,Europe,NL,Amsterdam,179,0.00
